timestamp,amount,temperature,humidity,windspeed
1708438870000,338.35,-2.5,43,3.09
1708438870000,340.93,-2.5,43,3.09
1708438870000,342.81,-2.5,43,3.09
1708438870000,345.42,-2.5,43,3.09
1708438870000,347.24,-2.5,43,3.09
1708438870000,345.74,-2.5,43,3.09
1708438870000,344.22,-2.5,43,3.09
1708438870000,342.61,-2.5,43,3.09
1708438870000,344.25,-2.5,43,3.09
1708438870000,347.6,-2.5,43,3.09
1708438870000,349.4,-2.5,43,3.09
1708438870000,345.01,-2.5,43,3.09
1708438870000,347.27,-2.5,43,3.09
1708438870000,343.54,-2.5,43,3.09
1708438870000,340.96,-2.5,43,3.09
1708438870000,344.47,-2.5,43,3.09
1708438870000,346.89,-2.5,43,3.09
1708438870000,350.67,-2.5,43,3.09
1708438870000,343.44,-2.5,43,3.09
1708438870000,332.7,-2.5,43,3.09
1708438870000,325.28,-2.5,43,3.09
1708438870000,330.21,-2.5,43,3.09
1708438870000,333.63,-2.5,43,3.09
1708438870000,335.99,-2.5,43,3.09
1708438870000,337.62,-2.5,43,3.09
1708438870000,334.76,-2.5,43,3.09
1708438870000,331.82,-2.5,43,3.09
1708438870000,329.79,-2.5,43,3.09
1708438870000,322.42,-2.5,43,3.09
1708438870000,317.32,-2.5,43,3.09
1708438870000,332.06,-2.5,43,3.09
1708438870000,323.99,-2.5,43,3.09
1708438870000,318.41,-2.5,43,3.09
1708438870000,326.49,-2.5,43,3.09
1708438870000,332.08,-2.5,43,3.09
1708438870000,336.37,-2.5,43,3.09
1708438870000,345.25,-2.5,43,3.09
1708438870000,352.21,-2.5,43,3.09
1708438870000,347.3,-2.5,43,3.09
1708438870000,353.62,-2.5,43,3.09
1708438870000,348.27,-2.5,43,3.09
1708438870000,344.57,-2.5,43,3.09
1708438870000,342.27,-2.5,43,3.09
1708438870000,340.27,-2.5,43,3.09
1708438870000,337.68,-2.5,43,3.09
1708438870000,335.89,-2.5,43,3.09
1708438870000,341.3,-2.5,43,3.09
1708438870000,345.9,-2.5,43,3.09
1708438870000,350.1,-2.5,43,3.09
1708438870000,351.98,-2.5,43,3.09
1708438870000,346.79,-2.5,43,3.09
1708438870000,343.21,-2.5,43,3.09
1708438870000,345.17,-2.5,43,3.09
1708438870000,346.71,-2.5,43,3.09
1708438870000,343.98,-2.5,43,3.09
1708438871000,342.46,-2.5,43,3.09
1708438871000,340.38,-2.5,43,3.09
1708438871000,337.96,-2.5,43,3.09
1708438871000,327.24,-2.5,43,3.09
1708438871000,320.14,-2.5,43,3.09
1708438871000,315.75,-2.5,43,3.09
1708438871000,312.71,-2.5,43,3.09
1708438871000,317.36,-2.5,43,3.09
1708438871000,325.43,-2.5,43,3.09
1708438871000,331.44,-2.5,43,3.09
1708438871000,334.55,-2.5,43,3.09
1708438871000,325.18,-2.5,43,3.09
1708438871000,329.3,-2.5,43,3.09
1708438871000,333,-2.5,43,3.09
1708438871000,335.55,-2.5,43,3.09
1708438871000,337.66,-2.5,43,3.09
1708438871000,340.12,-2.5,43,3.09
1708438871000,346.04,-2.5,43,3.09
1708438871000,348.86,-2.5,43,3.09
1708438871000,336.35,-2.5,43,3.09
1708438871000,346.41,-2.5,43,3.09
1708438871000,343.22,-2.5,43,3.09
1708438871000,338.14,-2.5,43,3.09
1708438871000,335.53,-2.5,43,3.09
1708438871000,337.91,-2.5,43,3.09
1708438871000,339.63,-2.5,43,3.09
1708438871000,342.36,-2.5,43,3.09
1708438871000,344.24,-2.5,43,3.09
1708438871000,347.08,-2.5,43,3.09
1708438871000,349.04,-2.5,43,3.09
1708438871000,353.63,-2.5,43,3.09
1708438871000,348.62,-2.5,43,3.09
1708438871000,345.07,-2.5,43,3.09
1708438871000,341.72,-2.5,43,3.09
1708438871000,332.02,-2.5,43,3.09
1708438871000,325.32,-2.5,43,3.09
1708438871000,320.7,-2.5,43,3.09
1708438871000,317.5,-2.5,43,3.09
1708438871000,315.29,-2.5,43,3.09
1708438871000,317.69,-2.5,43,3.09
1708438871000,321.39,-2.5,43,3.09
1708438871000,323.95,-2.5,43,3.09
1708438871000,328.62,-2.5,43,3.09
1708438871000,336.28,-2.5,43,3.09
1708438871000,341.58,-2.5,43,3.09
1708438871000,336.99,-2.5,43,3.09
1708438871000,332,-2.5,43,3.09
1708438871000,328.55,-2.5,43,3.09
